Fraktion/Gruppe,Vorname,Name,ja,nein,Enthaltung,ungültig,nichtabgegeben,total_votes,ratio_ja,ratio_nein,ratio_Enthaltung,ratio_ungültig,ratio_nichtabgegeben
AfD,Götz,Frömming,22,42,3,0,1,68,0.3235294117647059,0.6176470588235294,0.04411764705882353,0.0,0.014705882352941176
AfD,Matthias,Rentzsch,22,42,3,0,1,68,0.3235294117647059,0.6176470588235294,0.04411764705882353,0.0,0.014705882352941176
AfD,Joachim,Bloch,22,42,3,0,1,68,0.3235294117647059,0.6176470588235294,0.04411764705882353,0.0,0.014705882352941176
BÜ90/GR,Katrin,Uhlig,34,25,8,0,1,68,0.5,0.36764705882352944,0.11764705882352941,0.0,0.014705882352941176
AfD,Jörg,Zirwes,22,42,3,0,1,68,0.3235294117647059,0.6176470588235294,0.04411764705882353,0.0,0.014705882352941176
AfD,Sebastian,Maack,22,42,3,0,1,68,0.3235294117647059,0.6176470588235294,0.04411764705882353,0.0,0.014705882352941176
BÜ90/GR,Helge,Limburg,34,26,7,0,1,68,0.5,0.38235294117647056,0.10294117647058823,0.0,0.014705882352941176
AfD,Ronald,Gläser,22,43,2,0,1,68,0.3235294117647059,0.6323529411764706,0.029411764705882353,0.0,0.014705882352941176
AfD,Rocco,Kever,21,43,3,0,1,68,0.3088235294117647,0.6323529411764706,0.04411764705882353,0.0,0.014705882352941176
AfD,Rainer,Kraft,22,42,3,0,1,68,0.3235294117647059,0.6176470588235294,0.04411764705882353,0.0,0.014705882352941176
BÜ90/GR,Karl,Bär,34,25,8,0,1,68,0.5,0.36764705882352944,0.11764705882352941,0.0,0.014705882352941176
BÜ90/GR,Jeanne,Dillschneider,34,25,8,0,1,68,0.5,0.36764705882352944,0.11764705882352941,0.0,0.014705882352941176
AfD,Nicole,Hess,22,42,3,0,1,68,0.3235294117647059,0.6176470588235294,0.04411764705882353,0.0,0.014705882352941176
AfD,Mirco,Hanker,22,42,3,0,1,68,0.3235294117647059,0.6176470588235294,0.04411764705882353,0.0,0.014705882352941176
AfD,Michael,Espendiller,22,42,3,0,1,68,0.3235294117647059,0.6176470588235294,0.04411764705882353,0.0,0.014705882352941176
AfD,Steffen,Janich,19,44,4,0,1,68,0.27941176470588236,0.6470588235294118,0.058823529411764705,0.0,0.014705882352941176
AfD,Stephan,Brandner,21,42,4,0,1,68,0.3088235294117647,0.6176470588235294,0.058823529411764705,0.0,0.014705882352941176
AfD,Micha,Fehre,22,42,3,0,1,68,0.3235294117647059,0.6176470588235294,0.04411764705882353,0.0,0.014705882352941176
AfD,Christopher,Drößler,22,42,3,0,1,68,0.3235294117647059,0.6176470588235294,0.04411764705882353,0.0,0.014705882352941176
AfD,Denis,Pauli,22,42,3,0,1,68,0.3235294117647059,0.6176470588235294,0.04411764705882353,0.0,0.014705882352941176
AfD,Christoph,Birghan,22,42,3,0,1,68,0.3235294117647059,0.6176470588235294,0.04411764705882353,0.0,0.014705882352941176
AfD,Andreas,Bleck,22,42,3,0,1,68,0.3235294117647059,0.6176470588235294,0.04411764705882353,0.0,0.014705882352941176
AfD,Thomas,Korell,22,42,3,0,1,68,0.3235294117647059,0.6176470588235294,0.04411764705882353,0.0,0.014705882352941176
BÜ90/GR,Alaa,Alhamwi,35,25,7,0,1,68,0.5147058823529411,0.36764705882352944,0.10294117647058823,0.0,0.014705882352941176
AfD,Alexis L.,Giersch,21,43,3,0,1,68,0.3088235294117647,0.6323529411764706,0.04411764705882353,0.0,0.014705882352941176
BÜ90/GR,Claudia,Roth (Augsburg),4,2,0,0,1,7,0.5714285714285714,0.2857142857142857,0.0,0.0,0.14285714285714285
BÜ90/GR,Andrea,Lübcke,31,23,7,0,1,62,0.5,0.3709677419354839,0.11290322580645161,0.0,0.016129032258064516
AfD,Ulrike,Schielke-Ziesing,22,42,3,0,1,68,0.3235294117647059,0.6176470588235294,0.04411764705882353,0.0,0.014705882352941176
AfD,Olaf,Hilmer,22,41,3,0,2,68,0.3235294117647059,0.6029411764705882,0.04411764705882353,0.0,0.029411764705882353
BÜ90/GR,Annalena,Baerbock,2,2,0,0,2,6,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
BÜ90/GR,Armin,Grau,34,24,8,0,2,68,0.5,0.35294117647058826,0.11764705882352941,0.0,0.029411764705882353
CDU/CSU,Nicolas,Zippelius,52,14,0,0,2,68,0.7647058823529411,0.20588235294117646,0.0,0.0,0.029411764705882353
CDU/CSU,Detlef,Seif,52,14,0,0,2,68,0.7647058823529411,0.20588235294117646,0.0,0.0,0.029411764705882353
CDU/CSU,Matthias,Hauer,52,14,0,0,2,68,0.7647058823529411,0.20588235294117646,0.0,0.0,0.029411764705882353
CDU/CSU,Mathias,Middelberg,52,14,0,0,2,68,0.7647058823529411,0.20588235294117646,0.0,0.0,0.029411764705882353
AfD,Robert,Teske,18,45,3,0,2,68,0.2647058823529412,0.6617647058823529,0.04411764705882353,0.0,0.029411764705882353
CDU/CSU,Marlon,Bröhr,52,14,0,0,2,68,0.7647058823529411,0.20588235294117646,0.0,0.0,0.029411764705882353
CDU/CSU,Georg,Günther,53,13,0,0,2,68,0.7794117647058824,0.19117647058823528,0.0,0.0,0.029411764705882353
AfD,Tobias Matthias,Peterka,20,42,4,0,2,68,0.29411764705882354,0.6176470588235294,0.058823529411764705,0.0,0.029411764705882353
CDU/CSU,Günter,Krings,53,13,0,0,2,68,0.7794117647058824,0.19117647058823528,0.0,0.0,0.029411764705882353
AfD,Thomas,Stephan,21,42,3,0,2,68,0.3088235294117647,0.6176470588235294,0.04411764705882353,0.0,0.029411764705882353
CDU/CSU,Josef,Oster,52,14,0,0,2,68,0.7647058823529411,0.20588235294117646,0.0,0.0,0.029411764705882353
CDU/CSU,Johannes,Wiegelmann,51,15,0,0,2,68,0.75,0.22058823529411764,0.0,0.0,0.029411764705882353
CDU/CSU,Johannes,Volkmann,52,14,0,0,2,68,0.7647058823529411,0.20588235294117646,0.0,0.0,0.029411764705882353
AfD,Sven,Wendorf,21,42,3,0,2,68,0.3088235294117647,0.6176470588235294,0.04411764705882353,0.0,0.029411764705882353
CDU/CSU,Marvin,Schulz,52,14,0,0,2,68,0.7647058823529411,0.20588235294117646,0.0,0.0,0.029411764705882353
BÜ90/GR,Lisa,Paus,34,24,8,0,2,68,0.5,0.35294117647058826,0.11764705882352941,0.0,0.029411764705882353
CDU/CSU,Thomas,Pauls,52,14,0,0,2,68,0.7647058823529411,0.20588235294117646,0.0,0.0,0.029411764705882353
CDU/CSU,Sebastian,Steineke,52,14,0,0,2,68,0.7647058823529411,0.20588235294117646,0.0,0.0,0.029411764705882353
SPD,Gabriela,Heinrich,53,13,0,0,2,68,0.7794117647058824,0.19117647058823528,0.0,0.0,0.029411764705882353
SPD,Jan,Dieren,39,18,9,0,2,68,0.5735294117647058,0.2647058823529412,0.1323529411764706,0.0,0.029411764705882353
SPD,Johannes,Schraps,52,14,0,0,2,68,0.7647058823529411,0.20588235294117646,0.0,0.0,0.029411764705882353
AfD,Christian,Reck,21,42,3,0,2,68,0.3088235294117647,0.6176470588235294,0.04411764705882353,0.0,0.029411764705882353
SPD,Kerstin,Griese,52,14,0,0,2,68,0.7647058823529411,0.20588235294117646,0.0,0.0,0.029411764705882353
